Time Stamp:,Linear Time:,F1,F2,F3,F4,F5,F6,F7,F8
2025-09-09 15:00:00,39,70.94,30.22,39.56,59.28,78,69.83,9.39,46.5
2025-09-09 16:00:00,40,45.89,74.39,14,66.56,36.78,60.67,85.39,68.39
2025-09-09 17:00:00,41,53.61,67.33,75.72,2.56,70.39,6.78,67.44,62.33
2025-09-09 18:00:00,42,45.11,46.89,64.83,49.94,42,77.44,34.06,62.11
2025-09-09 19:00:00,43,39.11,41.72,32,24.83,33.56,39.61,59.28,23.72
2025-09-09 20:00:00,44,21.33,16.67,15.11,3.83,3.56,0.56,1.72,13.11
2025-09-09 21:00:00,45,24,1.17,0.67,8.11,39.11,19.89,10.72,11.67
2025-09-09 22:00:00,46,5.67,24.17,43.17,2.11,60.94,22.39,1.61,5.67
2025-09-09 23:00:00,47,39.11,55.56,43.89,58.06,41.28,1.56,38.78,24.28
2025-09-10 00:00:00,48,22.94,47.56,24.39,36.94,3.67,29.89,60,62.61
2025-09-10 01:00:00,49,0.72,21.83,1.5,2.56,77.89,65.33,2.61,26.61
2025-09-10 02:00:00,50,38.89,2.06,1.5,36.33,40.89,38.78,2.61,1.28
2025-09-10 03:00:00,51,32,41.22,29,62.22,15.94,37.39,39.78,1.5
2025-09-10 04:00:00,52,34.78,20.67,38.17,1.11,2.22,15.17,30.11,45.11
2025-09-10 05:00:00,53,27.11,1.33,4.67,7.72,0.83,27.67,2.89,50.56
2025-09-10 06:00:00,54,57.83,1.89,2.94,59.72,24.56,16.56,69.28,3.56
2025-09-10 07:00:00,55,41.06,17.11,64.28,78.72,80.06,61.61,64.33,0.89
2025-09-10 08:00:00,56,24,3.72,1,2.28,0.94,14.89,2.33,32.61
2025-09-10 09:00:00,57,49.72,65.89,66.94,24.17,54,69.78,43.11,56.5
2025-09-10 10:00:00,58,40.11,52.78,65.33,64.5,64.94,63.44,51.72,62.44
2025-09-10 11:00:00,59,36,76,53.33,53.06,71.94,28.78,53.06,54.06
2025-09-10 12:00:00,60,51.39,68.67,63.33,46.22,34.06,60.17,77.78,70.89
2025-09-10 13:00:00,61,60.78,82,48.22,56.67,83.89,72.28,61.5,21.17
2025-09-10 14:00:00,62,56.72,56.78,54.56,56.39,55.28,62.56,59.06,72
2025-09-10 15:00:00,63,16.83,61.67,50.83,44.72,87.72,19.56,76.61,57.72
2025-09-10 16:00:00,64,44.5,85.72,61.28,62.44,49.78,77,67.72,44.5
2025-09-10 17:00:00,65,48.33,55.89,54.83,7.61,82.5,67.11,79.67,73.28
2025-09-10 18:00:00,66,51.89,63.06,38.22,66.22,50.94,35.94,46.78,69.28
2025-09-10 19:00:00,67,46.11,50.28,39.39,36.06,44.83,55.33,47.06,49.5
2025-09-10 20:00:00,68,4.33,7.33,13.22,2.22,17.83,0.5,28.94,3.11
2025-09-10 21:00:00,69,7.78,1,1.44,1.67,10,14.44,1.33,13.44
2025-09-10 22:00:00,70,25.28,0.33,0.61,2,14.78,9.28,0.72,22.39
2025-09-10 23:00:00,71,11.44,28.72,2.28,3.56,15.22,48.72,1,2
2025-09-11 00:00:00,72,23.72,1.39,1.17,2.61,47.17,54.17,1.17,0.94
2025-09-11 01:00:00,73,31.39,44.89,1.61,15.28,31.39,1.22,6.39,47.22
2025-09-11 02:00:00,74,32.28,65.11,5.56,50.22,7.56,40.06,60.78,58.06
2025-09-11 03:00:00,75,18.28,67.72,62.56,56.11,7.11,46.61,13.06,28.61
2025-09-11 04:00:00,76,42.83,1.44,34.83,2.94,2.67,16.78,1.72,1.5
2025-09-11 05:00:00,77,23.56,2.33,5.33,11.28,17.83,3.39,30.83,1.89
2025-09-11 06:00:00,78,2.61,0.72,41.11,83.44,72.28,52.89,60.39,1.11
2025-09-11 07:00:00,79,64.44,1.56,56.17,29.89,32.44,67.72,22.17,2
