Time Stamp:,Linear Time:,M1,M2,M3,M4,M5,M6,M7,M8
2025-09-09 14:00:00,38,7.28,6.56,6.61,9.94,5.56,4.94,14.33,8
2025-09-09 15:00:00,39,16.33,2.28,2.28,5.67,7.17,9.78,5.22,10.11
2025-09-09 16:00:00,40,8.11,3.17,5.39,3.94,3.56,12.39,4.39,8.44
2025-09-09 17:00:00,41,8.22,7.17,2,9.5,5.22,3.33,5.11,1.39
2025-09-09 18:00:00,42,8.5,5.33,3.5,3.72,6.67,5.22,5.72,8.56
2025-09-09 19:00:00,43,10.5,5.5,0.39,5.28,7.5,5.61,4.78,7.11
2025-09-09 20:00:00,44,6.22,1.06,2.22,5.61,3.28,0.61,1.72,3.56
2025-09-09 21:00:00,45,4,3.11,3,3.78,10.06,1.5,0.83,0.72
2025-09-09 22:00:00,46,4.61,5.11,2.67,10.78,7.44,3.28,1.61,1.72
2025-09-09 23:00:00,47,8.61,5.28,3,1.89,6.5,1.61,4.56,1.5
2025-09-10 00:00:00,48,9.11,4.61,0.28,2,12.89,5.06,5,8.33
2025-09-10 01:00:00,49,7.5,7.11,0.72,12.28,8.11,2.5,3.11,11.56
2025-09-10 02:00:00,50,3.78,5.56,2.06,11.44,7.89,3.17,11.06,5.89
2025-09-10 03:00:00,51,5.83,5.39,1.94,8.78,0.67,4.61,8.39,4.11
2025-09-10 04:00:00,52,6.33,5.33,2.83,2.06,5.11,3.67,6.39,14.5
2025-09-10 05:00:00,53,4.5,3.56,0.44,6.78,7.78,5.33,6.28,3.61
2025-09-10 06:00:00,54,6.72,5.44,3.44,4.72,3.61,5.44,1.78,0.72
2025-09-10 07:00:00,55,4.5,3.89,2.94,0.44,8.17,7.28,1.89,1.28
2025-09-10 08:00:00,56,2.72,6.44,1.89,5.17,1.67,4.56,5.11,1
2025-09-10 09:00:00,57,6.5,6.06,4.5,7.33,3.22,7.72,7.28,3.94
2025-09-10 10:00:00,58,8.28,5.5,2.33,4.33,7.22,9.28,4.83,3.83
2025-09-10 11:00:00,59,6.44,8.22,4.28,3.22,6.17,5.72,8.83,10.11
2025-09-10 12:00:00,60,7.61,6.17,2.72,5.61,7.56,4.67,2.33,9.28
2025-09-10 13:00:00,61,4.78,4.61,3.5,5,4.22,5.78,5.5,6.61
2025-09-10 14:00:00,62,11.78,6.28,3.5,8.44,9.28,7.94,8.56,7.72
2025-09-10 15:00:00,63,7.72,7.56,5.22,7,3.28,7.17,6.5,5.39
2025-09-10 16:00:00,64,9.28,6.72,3.39,7.56,10.39,3,6.56,4.67
2025-09-10 17:00:00,65,8.72,5.28,1.28,7.94,12.33,8,6.5,9.06
2025-09-10 18:00:00,66,13.61,3.28,4.11,6.94,10.56,9.83,8.17,6.61
2025-09-10 19:00:00,67,11.94,7.11,3.33,12.78,9.44,9.39,4.94,7.06
2025-09-10 20:00:00,68,9.28,3.5,2.39,3.61,8.5,2.17,4.72,12.78
2025-09-10 21:00:00,69,5.22,4.17,1.89,1.44,5.94,0.17,3.83,1.5
2025-09-10 22:00:00,70,10.89,8.67,1.44,2.06,2.89,1,2.44,0.39
2025-09-10 23:00:00,71,7.61,3.22,1.06,0.94,2.28,2.83,3.56,12.61
2025-09-11 00:00:00,72,2.22,2.83,0.44,2.83,12.67,5.17,6.67,9.39
2025-09-11 01:00:00,73,3.06,8.72,0.39,5.44,7.83,7.78,5.56,1.56
2025-09-11 02:00:00,74,15.72,13.39,3,2.61,1.5,9.89,8.5,5.11
2025-09-11 03:00:00,75,6.06,15.28,1.61,2.83,11.06,12.17,10.5,17.78
2025-09-11 04:00:00,76,9.83,7.44,0.94,16.44,7,4.67,10.94,2.39
2025-09-11 05:00:00,77,6.5,3.11,0.61,11.22,0.06,2.44,2.5,2.17
2025-09-11 06:00:00,78,5.11,3.06,0,7.44,5.22,2.83,1.67,3.17
2025-09-11 07:00:00,79,15,3.5,2.67,10.5,2.39,1.44,7,2.11
