,Start Time:,9/5/2025 10:00, End Time:,9/8/2025 14:00, Normalization:,None,,,
9/6/2025 19:00,43,30.19,67.94,39.54,112.52,30.19,21.3,85.09,49.47
9/6/2025 20:00,44,388.67,170.24,217.43,146.74,266.92,3596,202.57,221
9/6/2025 21:00,45,388.67,500,593,96.69,442.75,711.6,383.11,1793
9/6/2025 22:00,46,266.62,248,1194,111.04,166.2,502.29,291.33,440.25
9/6/2025 23:00,47,44.95,583.67,892,66.9,75.55,116.9,177.41,16.81
9/7/2025 0:00,48,49.71,31.95,587,20.21,31.12,35.13,25.51,109.92
9/7/2025 1:00,49,839,119.57,52.67,184.67,102.52,128.73,49.53,699.2
9/7/2025 2:00,50,678.8,290.83,69.94,187.22,108.48,199.06,160.1,66.8
9/7/2025 3:00,51,54.87,120.5,347.2,43.22,85.29,246.71,159.05,707.2
9/7/2025 4:00,52,66.91,72.65,114,46.51,78.19,350.6,244.43,156.11
9/7/2025 5:00,53,41.62,42.78,36.19,51.95,70.76,33.18,55.15,11.64
9/7/2025 6:00,54,74.55,111.3,82.86,8.93,71.52,12.71,349,48.36
9/7/2025 7:00,55,180.25,37.71,35.81,102.4,87.07,113,57.1,162.25
9/7/2025 8:00,56,49.33,589.67,94,101.69,42.4,46.11,64.32,73.33
9/7/2025 9:00,57,30.75,36.2,34.07,29.9,26.2,27.23,23.52,122.38
9/7/2025 10:00,58,8.86,107.6,34.72,24,31.12,38,35.19,503.71
9/7/2025 11:00,59,51.75,38.16,11.33,80.92,115.05,15.87,155.75,92
9/7/2025 12:00,60,9.61,38.65,35.33,14.33,32.43,90.62,17.86,12.22
9/7/2025 13:00,61,22.05,33.18,18.45,19.57,17.64,35.14,38,20.78
9/7/2025 14:00,62,18.86,26.5,6.57,24.81,48.29,42.58,11.87,19.96
9/7/2025 15:00,63,25.03,34.09,13.52,98.27,35.07,23.07,17.8,32.74
9/7/2025 16:00,64,18.88,34.17,36.83,12.15,23.33,24.44,11.68,22.67
9/7/2025 17:00,65,17.69,34,12.77,73.91,41.95,37.03,55.44,219.23
9/7/2025 18:00,66,21.14,20.5,17.66,37.84,21.14,32.65,18.57,55.39
9/7/2025 19:00,67,40.35,57.9,19.96,63.63,77.8,64.83,32,22.32
9/7/2025 20:00,68,395,175.56,251.67,881,129.22,111.2,333.6,139.57
9/7/2025 21:00,69,161.67,287.5,500.57,591.33,392.89,392.67,501.14,86.2
9/7/2025 22:00,70,81.66,44.1,315.27,183.25,366.67,388.44,248.29,441.75
9/7/2025 23:00,71,43.03,289.17,139.1,31.38,46.65,42.53,46.4,44.59
9/8/2025 0:00,72,130.7,344,117.54,59.08,32.65,96,19.89,45.96
9/8/2025 1:00,73,87.66,33.46,27.37,179.76,91,209.71,24.7,74.46
9/8/2025 2:00,74,62.59,58.09,209.75,31.82,60.57,15.76,29.76,55.86
9/8/2025 3:00,75,69.5,123.56,62.3,98.07,130.09,249.38,124.15,106.62
9/8/2025 4:00,76,122.17,83.47,107.23,130.95,48.67,169.53,128.08,318.18
9/8/2025 5:00,77,25.91,92.63,348.2,69.19,189.78,294.91,286.67,316.36
9/8/2025 6:00,78,11.87,15.09,23.31,31.28,150.33,36.6,131.67,125.33
9/8/2025 7:00,79,184.67,75.12,224.53,20.96,21.88,57.19,108.3,21.16
9/8/2025 8:00,80,42.68,170.12,64.7,153.7,123.3,66.97,76.21,116.25
9/8/2025 9:00,81,37.82,27.27,14.84,13.22,55.35,42.42,19.87,14.33
9/8/2025 10:00,82,26.52,109.05,73,103.9,12.98,23.04,82.15,31.55
9/8/2025 11:00,83,39.22,10.5,30.81,29.65,23.03,33.27,11.27,33.6
9/8/2025 12:00,84,46,21.62,23.84,42.5,59.71,54.13,50.12,54.91
9/8/2025 13:00,85,28.32,248.46,40.44,66.75,25.62,16.34,33.95,19.69
