ctfr/ligand_inputs/paper_ligands,ctfr/output_data/paper_ligands
ctfr/ligand_inputs/condensed_params_and_db_0/20,ctfr/output_data/condensed_params_and_db_0/20
ctfr/ligand_inputs/condensed_params_and_db_0/21,ctfr/output_data/condensed_params_and_db_0/21
ctfr/ligand_inputs/condensed_params_and_db_0/22,ctfr/output_data/condensed_params_and_db_0/22
ctfr/ligand_inputs/condensed_params_and_db_0/23,ctfr/output_data/condensed_params_and_db_0/23
ctfr/ligand_inputs/condensed_params_and_db_0/24,ctfr/output_data/condensed_params_and_db_0/24
ctfr/ligand_inputs/condensed_params_and_db_0/25,ctfr/output_data/condensed_params_and_db_0/25
ctfr/ligand_inputs/condensed_params_and_db_0/26,ctfr/output_data/condensed_params_and_db_0/26
ctfr/ligand_inputs/condensed_params_and_db_0/27,ctfr/output_data/condensed_params_and_db_0/27
ctfr/ligand_inputs/condensed_params_and_db_0/28,ctfr/output_data/condensed_params_and_db_0/28
ctfr/ligand_inputs/condensed_params_and_db_0/29,ctfr/output_data/condensed_params_and_db_0/29
ctfr/ligand_inputs/condensed_params_and_db_0/30,ctfr/output_data/condensed_params_and_db_0/30
ctfr/ligand_inputs/condensed_params_and_db_0/31,ctfr/output_data/condensed_params_and_db_0/31
ctfr/ligand_inputs/condensed_params_and_db_0/32,ctfr/output_data/condensed_params_and_db_0/32
ctfr/ligand_inputs/condensed_params_and_db_0/33,ctfr/output_data/condensed_params_and_db_0/33
ctfr/ligand_inputs/condensed_params_and_db_0/34,ctfr/output_data/condensed_params_and_db_0/34
ctfr/ligand_inputs/condensed_params_and_db_0/35,ctfr/output_data/condensed_params_and_db_0/35
ctfr/ligand_inputs/condensed_params_and_db_0/36,ctfr/output_data/condensed_params_and_db_0/36
ctfr/ligand_inputs/condensed_params_and_db_0/37,ctfr/output_data/condensed_params_and_db_0/37
ctfr/ligand_inputs/condensed_params_and_db_0/38,ctfr/output_data/condensed_params_and_db_0/38
ctfr/ligand_inputs/condensed_params_and_db_0/39,ctfr/output_data/condensed_params_and_db_0/39
ctfr/ligand_inputs/condensed_params_and_db_0/40,ctfr/output_data/condensed_params_and_db_0/40
ctfr/ligand_inputs/condensed_params_and_db_0/41,ctfr/output_data/condensed_params_and_db_0/41
ctfr/ligand_inputs/condensed_params_and_db_0/42,ctfr/output_data/condensed_params_and_db_0/42
ctfr/ligand_inputs/condensed_params_and_db_0/43,ctfr/output_data/condensed_params_and_db_0/43
ctfr/ligand_inputs/condensed_params_and_db_0/44,ctfr/output_data/condensed_params_and_db_0/44
ctfr/ligand_inputs/condensed_params_and_db_0/45,ctfr/output_data/condensed_params_and_db_0/45
ctfr/ligand_inputs/condensed_params_and_db_0/46,ctfr/output_data/condensed_params_and_db_0/46
ctfr/ligand_inputs/condensed_params_and_db_0/47,ctfr/output_data/condensed_params_and_db_0/47
ctfr/ligand_inputs/condensed_params_and_db_0/48,ctfr/output_data/condensed_params_and_db_0/48
ctfr/ligand_inputs/condensed_params_and_db_0/49,ctfr/output_data/condensed_params_and_db_0/49
ctfr/ligand_inputs/condensed_params_and_db_0/50,ctfr/output_data/condensed_params_and_db_0/50
ctfr/ligand_inputs/condensed_params_and_db_0/51,ctfr/output_data/condensed_params_and_db_0/51
ctfr/ligand_inputs/condensed_params_and_db_0/52,ctfr/output_data/condensed_params_and_db_0/52
ctfr/ligand_inputs/condensed_params_and_db_0/53,ctfr/output_data/condensed_params_and_db_0/53
ctfr/ligand_inputs/condensed_params_and_db_0/54,ctfr/output_data/condensed_params_and_db_0/54
ctfr/ligand_inputs/condensed_params_and_db_0/55,ctfr/output_data/condensed_params_and_db_0/55
ctfr/ligand_inputs/condensed_params_and_db_0/56,ctfr/output_data/condensed_params_and_db_0/56
ctfr/ligand_inputs/condensed_params_and_db_0/57,ctfr/output_data/condensed_params_and_db_0/57
ctfr/ligand_inputs/condensed_params_and_db_0/58,ctfr/output_data/condensed_params_and_db_0/58
ctfr/ligand_inputs/condensed_params_and_db_0/59,ctfr/output_data/condensed_params_and_db_0/59
ctfr/ligand_inputs/condensed_params_and_db_0/60,ctfr/output_data/condensed_params_and_db_0/60
ctfr/ligand_inputs/condensed_params_and_db_0/61,ctfr/output_data/condensed_params_and_db_0/61
ctfr/ligand_inputs/condensed_params_and_db_0/62,ctfr/output_data/condensed_params_and_db_0/62
ctfr/ligand_inputs/condensed_params_and_db_0/63,ctfr/output_data/condensed_params_and_db_0/63
ctfr/ligand_inputs/condensed_params_and_db_0/64,ctfr/output_data/condensed_params_and_db_0/64
ctfr/ligand_inputs/condensed_params_and_db_0/65,ctfr/output_data/condensed_params_and_db_0/65
ctfr/ligand_inputs/condensed_params_and_db_0/66,ctfr/output_data/condensed_params_and_db_0/66
ctfr/ligand_inputs/condensed_params_and_db_0/67,ctfr/output_data/condensed_params_and_db_0/67
ctfr/ligand_inputs/condensed_params_and_db_0/68,ctfr/output_data/condensed_params_and_db_0/68
ctfr/ligand_inputs/condensed_params_and_db_0/69,ctfr/output_data/condensed_params_and_db_0/69
ctfr/ligand_inputs/condensed_params_and_db_0/70,ctfr/output_data/condensed_params_and_db_0/70
ctfr/ligand_inputs/condensed_params_and_db_0/71,ctfr/output_data/condensed_params_and_db_0/71
ctfr/ligand_inputs/condensed_params_and_db_0/72,ctfr/output_data/condensed_params_and_db_0/72
ctfr/ligand_inputs/condensed_params_and_db_0/73,ctfr/output_data/condensed_params_and_db_0/73
ctfr/ligand_inputs/condensed_params_and_db_0/74,ctfr/output_data/condensed_params_and_db_0/74
ctfr/ligand_inputs/condensed_params_and_db_0/75,ctfr/output_data/condensed_params_and_db_0/75
ctfr/ligand_inputs/condensed_params_and_db_0/76,ctfr/output_data/condensed_params_and_db_0/76
ctfr/ligand_inputs/condensed_params_and_db_0/77,ctfr/output_data/condensed_params_and_db_0/77
ctfr/ligand_inputs/condensed_params_and_db_0/78,ctfr/output_data/condensed_params_and_db_0/78
ctfr/ligand_inputs/condensed_params_and_db_0/79,ctfr/output_data/condensed_params_and_db_0/79
ctfr/ligand_inputs/condensed_params_and_db_0/80,ctfr/output_data/condensed_params_and_db_0/80
ctfr/ligand_inputs/condensed_params_and_db_0/81,ctfr/output_data/condensed_params_and_db_0/81
ctfr/ligand_inputs/condensed_params_and_db_0/82,ctfr/output_data/condensed_params_and_db_0/82
ctfr/ligand_inputs/condensed_params_and_db_0/83,ctfr/output_data/condensed_params_and_db_0/83
ctfr/ligand_inputs/condensed_params_and_db_0/84,ctfr/output_data/condensed_params_and_db_0/84
ctfr/ligand_inputs/condensed_params_and_db_0/85,ctfr/output_data/condensed_params_and_db_0/85
ctfr/ligand_inputs/condensed_params_and_db_0/86,ctfr/output_data/condensed_params_and_db_0/86
ctfr/ligand_inputs/condensed_params_and_db_0/87,ctfr/output_data/condensed_params_and_db_0/87
ctfr/ligand_inputs/condensed_params_and_db_0/88,ctfr/output_data/condensed_params_and_db_0/88
ctfr/ligand_inputs/condensed_params_and_db_0/89,ctfr/output_data/condensed_params_and_db_0/89
ctfr/ligand_inputs/condensed_params_and_db_0/90,ctfr/output_data/condensed_params_and_db_0/90
ctfr/ligand_inputs/condensed_params_and_db_0/91,ctfr/output_data/condensed_params_and_db_0/91
ctfr/ligand_inputs/condensed_params_and_db_0/92,ctfr/output_data/condensed_params_and_db_0/92
ctfr/ligand_inputs/condensed_params_and_db_0/93,ctfr/output_data/condensed_params_and_db_0/93
ctfr/ligand_inputs/condensed_params_and_db_0/94,ctfr/output_data/condensed_params_and_db_0/94
ctfr/ligand_inputs/condensed_params_and_db_0/95,ctfr/output_data/condensed_params_and_db_0/95
ctfr/ligand_inputs/condensed_params_and_db_0/96,ctfr/output_data/condensed_params_and_db_0/96
ctfr/ligand_inputs/condensed_params_and_db_0/97,ctfr/output_data/condensed_params_and_db_0/97
ctfr/ligand_inputs/condensed_params_and_db_0/98,ctfr/output_data/condensed_params_and_db_0/98
ctfr/ligand_inputs/condensed_params_and_db_0/99,ctfr/output_data/condensed_params_and_db_0/99
ctfr/ligand_inputs/condensed_params_and_db_0/100,ctfr/output_data/condensed_params_and_db_0/100
ctfr/ligand_inputs/condensed_params_and_db_0/101,ctfr/output_data/condensed_params_and_db_0/101
ctfr/ligand_inputs/condensed_params_and_db_0/102,ctfr/output_data/condensed_params_and_db_0/102
ctfr/ligand_inputs/condensed_params_and_db_0/103,ctfr/output_data/condensed_params_and_db_0/103
ctfr/ligand_inputs/condensed_params_and_db_0/104,ctfr/output_data/condensed_params_and_db_0/104
ctfr/ligand_inputs/condensed_params_and_db_0/105,ctfr/output_data/condensed_params_and_db_0/105
ctfr/ligand_inputs/condensed_params_and_db_0/106,ctfr/output_data/condensed_params_and_db_0/106
ctfr/ligand_inputs/condensed_params_and_db_0/107,ctfr/output_data/condensed_params_and_db_0/107
ctfr/ligand_inputs/condensed_params_and_db_0/108,ctfr/output_data/condensed_params_and_db_0/108
ctfr/ligand_inputs/condensed_params_and_db_0/109,ctfr/output_data/condensed_params_and_db_0/109
ctfr/ligand_inputs/condensed_params_and_db_0/110,ctfr/output_data/condensed_params_and_db_0/110
ctfr/ligand_inputs/condensed_params_and_db_0/111,ctfr/output_data/condensed_params_and_db_0/111
ctfr/ligand_inputs/condensed_params_and_db_0/112,ctfr/output_data/condensed_params_and_db_0/112
ctfr/ligand_inputs/condensed_params_and_db_0/113,ctfr/output_data/condensed_params_and_db_0/113
ctfr/ligand_inputs/condensed_params_and_db_0/114,ctfr/output_data/condensed_params_and_db_0/114
ctfr/ligand_inputs/condensed_params_and_db_0/115,ctfr/output_data/condensed_params_and_db_0/115
ctfr/ligand_inputs/condensed_params_and_db_0/116,ctfr/output_data/condensed_params_and_db_0/116
ctfr/ligand_inputs/condensed_params_and_db_0/117,ctfr/output_data/condensed_params_and_db_0/117
ctfr/ligand_inputs/condensed_params_and_db_0/118,ctfr/output_data/condensed_params_and_db_0/118
ctfr/ligand_inputs/condensed_params_and_db_0/119,ctfr/output_data/condensed_params_and_db_0/119
ctfr/ligand_inputs/condensed_params_and_db_0/120,ctfr/output_data/condensed_params_and_db_0/120
ctfr/ligand_inputs/condensed_params_and_db_0/121,ctfr/output_data/condensed_params_and_db_0/121
ctfr/ligand_inputs/condensed_params_and_db_0/122,ctfr/output_data/condensed_params_and_db_0/122
ctfr/ligand_inputs/condensed_params_and_db_0/123,ctfr/output_data/condensed_params_and_db_0/123
ctfr/ligand_inputs/condensed_params_and_db_0/124,ctfr/output_data/condensed_params_and_db_0/124
ctfr/ligand_inputs/condensed_params_and_db_0/125,ctfr/output_data/condensed_params_and_db_0/125
ctfr/ligand_inputs/condensed_params_and_db_0/126,ctfr/output_data/condensed_params_and_db_0/126
ctfr/ligand_inputs/condensed_params_and_db_0/127,ctfr/output_data/condensed_params_and_db_0/127
ctfr/ligand_inputs/condensed_params_and_db_0/128,ctfr/output_data/condensed_params_and_db_0/128
ctfr/ligand_inputs/condensed_params_and_db_0/129,ctfr/output_data/condensed_params_and_db_0/129
ctfr/ligand_inputs/condensed_params_and_db_0/130,ctfr/output_data/condensed_params_and_db_0/130
ctfr/ligand_inputs/condensed_params_and_db_0/131,ctfr/output_data/condensed_params_and_db_0/131
ctfr/ligand_inputs/condensed_params_and_db_0/132,ctfr/output_data/condensed_params_and_db_0/132
ctfr/ligand_inputs/condensed_params_and_db_0/133,ctfr/output_data/condensed_params_and_db_0/133
ctfr/ligand_inputs/condensed_params_and_db_0/134,ctfr/output_data/condensed_params_and_db_0/134
ctfr/ligand_inputs/condensed_params_and_db_0/135,ctfr/output_data/condensed_params_and_db_0/135
ctfr/ligand_inputs/condensed_params_and_db_0/136,ctfr/output_data/condensed_params_and_db_0/136
ctfr/ligand_inputs/condensed_params_and_db_0/137,ctfr/output_data/condensed_params_and_db_0/137
ctfr/ligand_inputs/condensed_params_and_db_0/138,ctfr/output_data/condensed_params_and_db_0/138
ctfr/ligand_inputs/condensed_params_and_db_0/139,ctfr/output_data/condensed_params_and_db_0/139
ctfr/ligand_inputs/condensed_params_and_db_0/140,ctfr/output_data/condensed_params_and_db_0/140
ctfr/ligand_inputs/condensed_params_and_db_0/141,ctfr/output_data/condensed_params_and_db_0/141
ctfr/ligand_inputs/condensed_params_and_db_0/142,ctfr/output_data/condensed_params_and_db_0/142
ctfr/ligand_inputs/condensed_params_and_db_0/143,ctfr/output_data/condensed_params_and_db_0/143
ctfr/ligand_inputs/condensed_params_and_db_0/144,ctfr/output_data/condensed_params_and_db_0/144
ctfr/ligand_inputs/condensed_params_and_db_0/145,ctfr/output_data/condensed_params_and_db_0/145
ctfr/ligand_inputs/condensed_params_and_db_0/146,ctfr/output_data/condensed_params_and_db_0/146
ctfr/ligand_inputs/condensed_params_and_db_0/147,ctfr/output_data/condensed_params_and_db_0/147
ctfr/ligand_inputs/condensed_params_and_db_0/148,ctfr/output_data/condensed_params_and_db_0/148
ctfr/ligand_inputs/condensed_params_and_db_0/149,ctfr/output_data/condensed_params_and_db_0/149
ctfr/ligand_inputs/condensed_params_and_db_0/150,ctfr/output_data/condensed_params_and_db_0/150
ctfr/ligand_inputs/condensed_params_and_db_0/151,ctfr/output_data/condensed_params_and_db_0/151
ctfr/ligand_inputs/condensed_params_and_db_0/152,ctfr/output_data/condensed_params_and_db_0/152
ctfr/ligand_inputs/condensed_params_and_db_0/153,ctfr/output_data/condensed_params_and_db_0/153
ctfr/ligand_inputs/condensed_params_and_db_0/154,ctfr/output_data/condensed_params_and_db_0/154
ctfr/ligand_inputs/condensed_params_and_db_0/155,ctfr/output_data/condensed_params_and_db_0/155
ctfr/ligand_inputs/condensed_params_and_db_0/156,ctfr/output_data/condensed_params_and_db_0/156
ctfr/ligand_inputs/condensed_params_and_db_0/157,ctfr/output_data/condensed_params_and_db_0/157
ctfr/ligand_inputs/condensed_params_and_db_0/158,ctfr/output_data/condensed_params_and_db_0/158
ctfr/ligand_inputs/condensed_params_and_db_0/159,ctfr/output_data/condensed_params_and_db_0/159
ctfr/ligand_inputs/condensed_params_and_db_0/160,ctfr/output_data/condensed_params_and_db_0/160
ctfr/ligand_inputs/condensed_params_and_db_0/161,ctfr/output_data/condensed_params_and_db_0/161
ctfr/ligand_inputs/condensed_params_and_db_0/162,ctfr/output_data/condensed_params_and_db_0/162
ctfr/ligand_inputs/condensed_params_and_db_0/163,ctfr/output_data/condensed_params_and_db_0/163
ctfr/ligand_inputs/condensed_params_and_db_0/164,ctfr/output_data/condensed_params_and_db_0/164
ctfr/ligand_inputs/condensed_params_and_db_0/165,ctfr/output_data/condensed_params_and_db_0/165
ctfr/ligand_inputs/condensed_params_and_db_0/166,ctfr/output_data/condensed_params_and_db_0/166
ctfr/ligand_inputs/condensed_params_and_db_0/167,ctfr/output_data/condensed_params_and_db_0/167
ctfr/ligand_inputs/condensed_params_and_db_0/168,ctfr/output_data/condensed_params_and_db_0/168
ctfr/ligand_inputs/condensed_params_and_db_0/169,ctfr/output_data/condensed_params_and_db_0/169
ctfr/ligand_inputs/condensed_params_and_db_0/170,ctfr/output_data/condensed_params_and_db_0/170
ctfr/ligand_inputs/condensed_params_and_db_0/171,ctfr/output_data/condensed_params_and_db_0/171
ctfr/ligand_inputs/condensed_params_and_db_0/172,ctfr/output_data/condensed_params_and_db_0/172
ctfr/ligand_inputs/condensed_params_and_db_0/173,ctfr/output_data/condensed_params_and_db_0/173
ctfr/ligand_inputs/condensed_params_and_db_0/174,ctfr/output_data/condensed_params_and_db_0/174
ctfr/ligand_inputs/condensed_params_and_db_0/175,ctfr/output_data/condensed_params_and_db_0/175
ctfr/ligand_inputs/condensed_params_and_db_0/176,ctfr/output_data/condensed_params_and_db_0/176
ctfr/ligand_inputs/condensed_params_and_db_0/177,ctfr/output_data/condensed_params_and_db_0/177
ctfr/ligand_inputs/condensed_params_and_db_0/178,ctfr/output_data/condensed_params_and_db_0/178
ctfr/ligand_inputs/condensed_params_and_db_0/179,ctfr/output_data/condensed_params_and_db_0/179
ctfr/ligand_inputs/condensed_params_and_db_0/180,ctfr/output_data/condensed_params_and_db_0/180
ctfr/ligand_inputs/condensed_params_and_db_0/181,ctfr/output_data/condensed_params_and_db_0/181
ctfr/ligand_inputs/condensed_params_and_db_0/182,ctfr/output_data/condensed_params_and_db_0/182
ctfr/ligand_inputs/condensed_params_and_db_0/183,ctfr/output_data/condensed_params_and_db_0/183
ctfr/ligand_inputs/condensed_params_and_db_0/184,ctfr/output_data/condensed_params_and_db_0/184
ctfr/ligand_inputs/condensed_params_and_db_0/185,ctfr/output_data/condensed_params_and_db_0/185
ctfr/ligand_inputs/condensed_params_and_db_0/186,ctfr/output_data/condensed_params_and_db_0/186
ctfr/ligand_inputs/condensed_params_and_db_0/187,ctfr/output_data/condensed_params_and_db_0/187
ctfr/ligand_inputs/condensed_params_and_db_0/188,ctfr/output_data/condensed_params_and_db_0/188
ctfr/ligand_inputs/condensed_params_and_db_0/189,ctfr/output_data/condensed_params_and_db_0/189
ctfr/ligand_inputs/condensed_params_and_db_0/190,ctfr/output_data/condensed_params_and_db_0/190
ctfr/ligand_inputs/condensed_params_and_db_0/191,ctfr/output_data/condensed_params_and_db_0/191
ctfr/ligand_inputs/condensed_params_and_db_0/192,ctfr/output_data/condensed_params_and_db_0/192
ctfr/ligand_inputs/condensed_params_and_db_0/193,ctfr/output_data/condensed_params_and_db_0/193
ctfr/ligand_inputs/condensed_params_and_db_0/194,ctfr/output_data/condensed_params_and_db_0/194
ctfr/ligand_inputs/condensed_params_and_db_0/195,ctfr/output_data/condensed_params_and_db_0/195
ctfr/ligand_inputs/condensed_params_and_db_0/196,ctfr/output_data/condensed_params_and_db_0/196
ctfr/ligand_inputs/condensed_params_and_db_0/197,ctfr/output_data/condensed_params_and_db_0/197
ctfr/ligand_inputs/condensed_params_and_db_0/198,ctfr/output_data/condensed_params_and_db_0/198
ctfr/ligand_inputs/condensed_params_and_db_0/199,ctfr/output_data/condensed_params_and_db_0/199
ctfr/ligand_inputs/condensed_params_and_db_0/200,ctfr/output_data/condensed_params_and_db_0/200
ctfr/ligand_inputs/condensed_params_and_db_0/201,ctfr/output_data/condensed_params_and_db_0/201
ctfr/ligand_inputs/condensed_params_and_db_0/202,ctfr/output_data/condensed_params_and_db_0/202
ctfr/ligand_inputs/condensed_params_and_db_0/203,ctfr/output_data/condensed_params_and_db_0/203
ctfr/ligand_inputs/condensed_params_and_db_0/204,ctfr/output_data/condensed_params_and_db_0/204
ctfr/ligand_inputs/condensed_params_and_db_0/205,ctfr/output_data/condensed_params_and_db_0/205
ctfr/ligand_inputs/condensed_params_and_db_0/206,ctfr/output_data/condensed_params_and_db_0/206
ctfr/ligand_inputs/condensed_params_and_db_0/207,ctfr/output_data/condensed_params_and_db_0/207
ctfr/ligand_inputs/condensed_params_and_db_0/208,ctfr/output_data/condensed_params_and_db_0/208
ctfr/ligand_inputs/condensed_params_and_db_0/209,ctfr/output_data/condensed_params_and_db_0/209
ctfr/ligand_inputs/condensed_params_and_db_0/210,ctfr/output_data/condensed_params_and_db_0/210
ctfr/ligand_inputs/condensed_params_and_db_0/211,ctfr/output_data/condensed_params_and_db_0/211
ctfr/ligand_inputs/condensed_params_and_db_0/212,ctfr/output_data/condensed_params_and_db_0/212
ctfr/ligand_inputs/condensed_params_and_db_0/213,ctfr/output_data/condensed_params_and_db_0/213
ctfr/ligand_inputs/condensed_params_and_db_0/214,ctfr/output_data/condensed_params_and_db_0/214
ctfr/ligand_inputs/condensed_params_and_db_0/215,ctfr/output_data/condensed_params_and_db_0/215
ctfr/ligand_inputs/condensed_params_and_db_0/216,ctfr/output_data/condensed_params_and_db_0/216
ctfr/ligand_inputs/condensed_params_and_db_0/217,ctfr/output_data/condensed_params_and_db_0/217
ctfr/ligand_inputs/condensed_params_and_db_0/218,ctfr/output_data/condensed_params_and_db_0/218
ctfr/ligand_inputs/condensed_params_and_db_0/219,ctfr/output_data/condensed_params_and_db_0/219
ctfr/ligand_inputs/condensed_params_and_db_0/220,ctfr/output_data/condensed_params_and_db_0/220
ctfr/ligand_inputs/condensed_params_and_db_0/221,ctfr/output_data/condensed_params_and_db_0/221
ctfr/ligand_inputs/condensed_params_and_db_0/222,ctfr/output_data/condensed_params_and_db_0/222
ctfr/ligand_inputs/condensed_params_and_db_0/223,ctfr/output_data/condensed_params_and_db_0/223
ctfr/ligand_inputs/condensed_params_and_db_0/224,ctfr/output_data/condensed_params_and_db_0/224
ctfr/ligand_inputs/condensed_params_and_db_0/225,ctfr/output_data/condensed_params_and_db_0/225
ctfr/ligand_inputs/condensed_params_and_db_0/226,ctfr/output_data/condensed_params_and_db_0/226
ctfr/ligand_inputs/condensed_params_and_db_0/227,ctfr/output_data/condensed_params_and_db_0/227
ctfr/ligand_inputs/condensed_params_and_db_0/228,ctfr/output_data/condensed_params_and_db_0/228
ctfr/ligand_inputs/condensed_params_and_db_0/229,ctfr/output_data/condensed_params_and_db_0/229
ctfr/ligand_inputs/condensed_params_and_db_0/230,ctfr/output_data/condensed_params_and_db_0/230
ctfr/ligand_inputs/condensed_params_and_db_0/231,ctfr/output_data/condensed_params_and_db_0/231
ctfr/ligand_inputs/condensed_params_and_db_0/232,ctfr/output_data/condensed_params_and_db_0/232
ctfr/ligand_inputs/condensed_params_and_db_0/233,ctfr/output_data/condensed_params_and_db_0/233
ctfr/ligand_inputs/condensed_params_and_db_0/234,ctfr/output_data/condensed_params_and_db_0/234
ctfr/ligand_inputs/condensed_params_and_db_0/235,ctfr/output_data/condensed_params_and_db_0/235
ctfr/ligand_inputs/condensed_params_and_db_0/236,ctfr/output_data/condensed_params_and_db_0/236
ctfr/ligand_inputs/condensed_params_and_db_0/237,ctfr/output_data/condensed_params_and_db_0/237
ctfr/ligand_inputs/condensed_params_and_db_0/238,ctfr/output_data/condensed_params_and_db_0/238
ctfr/ligand_inputs/condensed_params_and_db_0/239,ctfr/output_data/condensed_params_and_db_0/239
ctfr/ligand_inputs/condensed_params_and_db_0/240,ctfr/output_data/condensed_params_and_db_0/240
ctfr/ligand_inputs/condensed_params_and_db_0/241,ctfr/output_data/condensed_params_and_db_0/241
ctfr/ligand_inputs/condensed_params_and_db_0/242,ctfr/output_data/condensed_params_and_db_0/242
ctfr/ligand_inputs/condensed_params_and_db_0/243,ctfr/output_data/condensed_params_and_db_0/243
ctfr/ligand_inputs/condensed_params_and_db_0/244,ctfr/output_data/condensed_params_and_db_0/244
ctfr/ligand_inputs/condensed_params_and_db_0/245,ctfr/output_data/condensed_params_and_db_0/245
ctfr/ligand_inputs/condensed_params_and_db_0/246,ctfr/output_data/condensed_params_and_db_0/246
ctfr/ligand_inputs/condensed_params_and_db_0/247,ctfr/output_data/condensed_params_and_db_0/247
ctfr/ligand_inputs/condensed_params_and_db_0/248,ctfr/output_data/condensed_params_and_db_0/248
ctfr/ligand_inputs/condensed_params_and_db_0/249,ctfr/output_data/condensed_params_and_db_0/249
ctfr/ligand_inputs/condensed_params_and_db_0/250,ctfr/output_data/condensed_params_and_db_0/250
ctfr/ligand_inputs/condensed_params_and_db_0/251,ctfr/output_data/condensed_params_and_db_0/251
ctfr/ligand_inputs/condensed_params_and_db_0/252,ctfr/output_data/condensed_params_and_db_0/252
ctfr/ligand_inputs/condensed_params_and_db_0/253,ctfr/output_data/condensed_params_and_db_0/253
ctfr/ligand_inputs/condensed_params_and_db_0/254,ctfr/output_data/condensed_params_and_db_0/254
ctfr/ligand_inputs/condensed_params_and_db_0/255,ctfr/output_data/condensed_params_and_db_0/255
ctfr/ligand_inputs/condensed_params_and_db_0/256,ctfr/output_data/condensed_params_and_db_0/256
ctfr/ligand_inputs/condensed_params_and_db_0/257,ctfr/output_data/condensed_params_and_db_0/257
ctfr/ligand_inputs/condensed_params_and_db_0/258,ctfr/output_data/condensed_params_and_db_0/258
ctfr/ligand_inputs/condensed_params_and_db_0/259,ctfr/output_data/condensed_params_and_db_0/259
ctfr/ligand_inputs/condensed_params_and_db_0/260,ctfr/output_data/condensed_params_and_db_0/260
ctfr/ligand_inputs/condensed_params_and_db_0/261,ctfr/output_data/condensed_params_and_db_0/261
ctfr/ligand_inputs/condensed_params_and_db_0/262,ctfr/output_data/condensed_params_and_db_0/262
ctfr/ligand_inputs/condensed_params_and_db_0/263,ctfr/output_data/condensed_params_and_db_0/263
ctfr/ligand_inputs/condensed_params_and_db_0/264,ctfr/output_data/condensed_params_and_db_0/264
ctfr/ligand_inputs/condensed_params_and_db_0/265,ctfr/output_data/condensed_params_and_db_0/265
ctfr/ligand_inputs/condensed_params_and_db_0/266,ctfr/output_data/condensed_params_and_db_0/266
ctfr/ligand_inputs/condensed_params_and_db_0/267,ctfr/output_data/condensed_params_and_db_0/267
ctfr/ligand_inputs/condensed_params_and_db_0/268,ctfr/output_data/condensed_params_and_db_0/268
ctfr/ligand_inputs/condensed_params_and_db_0/269,ctfr/output_data/condensed_params_and_db_0/269
ctfr/ligand_inputs/condensed_params_and_db_0/270,ctfr/output_data/condensed_params_and_db_0/270
ctfr/ligand_inputs/condensed_params_and_db_0/271,ctfr/output_data/condensed_params_and_db_0/271
ctfr/ligand_inputs/condensed_params_and_db_0/272,ctfr/output_data/condensed_params_and_db_0/272
ctfr/ligand_inputs/condensed_params_and_db_0/273,ctfr/output_data/condensed_params_and_db_0/273
ctfr/ligand_inputs/condensed_params_and_db_0/274,ctfr/output_data/condensed_params_and_db_0/274
ctfr/ligand_inputs/condensed_params_and_db_0/275,ctfr/output_data/condensed_params_and_db_0/275
ctfr/ligand_inputs/condensed_params_and_db_0/276,ctfr/output_data/condensed_params_and_db_0/276
ctfr/ligand_inputs/condensed_params_and_db_0/277,ctfr/output_data/condensed_params_and_db_0/277
