,Start Time:,2025-10-10 08:00:00, End Time:,2025-10-10 13:15:00, Normalization:,None,,,
Time Stamps:,Linear Time:,M8,M3,F8,F4,M4,F2,F7,M5
2025-10-10 10:24:00,58.4,0,0,0,0,0,0,0,2
2025-10-10 10:25:00,58.42,0,0,6,0,4,0,5,0
2025-10-10 10:26:00,58.43,0,0,4,0,14,0,0,0
2025-10-10 10:27:00,58.45,0,0,0,0,0,0,0,6
2025-10-10 10:28:00,58.47,0,0,0,0,2,0,6,16
2025-10-10 10:29:00,58.48,0,4,0,0,0,0,0,0
2025-10-10 10:30:00,58.5,2,0,0,5,0,0,0,0
2025-10-10 10:31:00,58.52,0,0,0,10,0,0,0,2
2025-10-10 10:32:00,58.53,0,0,0,0,2,0,0,0
2025-10-10 10:33:00,58.55,14,0,0,0,2,6,0,0
2025-10-10 10:34:00,58.57,10,0,0,0,0,7.5,2,0
2025-10-10 10:35:00,58.58,9,0,0,0,0,0,6,0
2025-10-10 10:36:00,58.6,2,0,0,0,0,6.67,2,3
2025-10-10 10:37:00,58.62,0,2,0,0,3.33,8,4,4
2025-10-10 10:38:00,58.63,0,4,0,0,7,2,0,0
2025-10-10 10:39:00,58.65,0,0,0,0,7,2,0,0
2025-10-10 10:40:00,58.67,0,0,0,0,22,2,0,11
2025-10-10 10:41:00,58.68,0,10,0,0,2,0,0,2
2025-10-10 10:42:00,58.7,0,0,0,0,0,6,4,0
2025-10-10 10:43:00,58.72,0,0,0,0,0,22,5,0
2025-10-10 10:44:00,58.73,0,0,0,6,0,0,0,0
2025-10-10 10:45:00,58.75,5,0,0,2,0,8,4,2
2025-10-10 10:46:00,58.77,4.67,0,0,4,0,0,0,5.33
2025-10-10 10:47:00,58.78,0,0,0,0,0,0,3,20
2025-10-10 10:48:00,58.8,2,0,0,2,0,0,14,0
2025-10-10 10:49:00,58.82,0,0,0,0,10,0,4,0
2025-10-10 10:50:00,58.83,0,0,0,0,5.33,8,0,2
2025-10-10 10:51:00,58.85,0,0,0,0,20,3,0,0
2025-10-10 10:52:00,58.87,0,0,0,0,4,0,0,0
